,mol,Eafw,Earev,dErxn,ETS,ERt,EPr,enan,HRt,HPr,HTS,Hafw,dH
0,1abp1,8.674063459,17.79365864,-9.119595186,-1453883.429647266,-1453892.1037041731,-1453901.22329247,R,-1453680.6325436642,-1453688.5899852929,-1453672.137326822,8.495216842275113,-7.9574416286777705
1,1abp2,7.572784332,19.45718626,-11.88440193,-1453884.717923243,-1453892.290701855,-1453904.175094806,R,-1453680.82958149,-1453691.4802917468,-1453673.453840704,7.375740786083043,-10.650710256770253
2,1abp3,12.31612845,22.03436767,-9.718239224,-1453878.3392942583,-1453890.655413401,-1453900.373645284,R,-1453679.3204223453,-1453687.7039425848,-1453667.211381172,12.109041173243895,-8.383520239498466
3,1abp4,9.298435386,22.48240943,-13.18397405,-1453879.61188251,-1453888.910310872,-1453902.094274962,R,-1453677.6826238548,-1453689.500500852,-1453668.500912167,9.181711687939242,-11.81787699717097
4,1abp5,10.17820367,22.9373538,-12.75915014,-1453881.4598965151,-1453891.6380924953,-1453904.3972329919,R,-1453680.2899237499,-1453691.6164612,-1453670.314413177,9.975510572781786,-11.326537450077012
5,1aMebp1,8.611312512000001,18.05658511,-9.445272602000001,-1503212.0677594978,-1503220.6790655048,-1503230.124330973,R,-1502974.359192681,-1502982.6228587022,-1502965.983202549,8.375990132102743,-8.263666021171957
6,1aMebp2,7.350018469,19.65987182,-12.30985335,-1503213.647199651,-1503220.997212568,-1503233.3070566212,R,-1502974.779623711,-1502985.5985063799,-1502967.5017743288,7.277849382255226,-10.818882668856531
7,1aMebp3,14.438993,22.83695229,-8.397959291,-1503207.378384741,-1503221.817366831,-1503230.2153197783,R,-1502975.488081372,-1502982.7307902502,-1502961.355951183,14.13213018910028,-7.242708878125995
8,1aMebp4,9.400091921,23.05407057,-13.65397864,-1503208.4206771902,-1503217.8207620098,-1503231.474730341,R,-1502971.6533738729,-1502983.892309409,-1502962.460367023,9.193006849847734,-12.238935536239296
9,1aMebp5,10.25036726,23.29628922,-13.04592196,-1503210.3075967531,-1503220.5579562678,-1503233.6038683783,R,-1502974.2907942,-1502985.756638648,-1502964.288928249,10.00186595111154,-11.465844447957352
10,1aMebp1,8.86357132,13.11494801,-4.251376686,-1503211.7063143142,-1503220.569878939,-1503224.8212524143,S,-1502974.3886856039,-1502977.452812051,-1502965.681998229,8.706687374971807,-3.064126447075978
11,1aMebp2,7.124115057999999,20.87284763,-13.74873258,-1503212.916151666,-1503220.040261343,-1503233.7889835332,S,-1502974.4413963598,-1502986.211582673,-1502966.747508511,7.693887848872691,-11.770186313195154
12,1aMebp3,9.561361855,21.45831397,-11.89695212,-1503212.256012198,-1503221.817366831,-1503233.714309962,S,-1502975.486198845,-1502985.921673515,-1502966.045953449,9.440245395991951,-10.435474670026451
