reactant,product,ea kcal/mol
reactant_000000.xyz,product_000000.xyz,48.65948409
reactant_000001.xyz,product_000001.xyz,74.20787835
reactant_000002.xyz,product_000002.xyz,102.65662752
reactant_000003.xyz,product_000003.xyz,76.83027898
reactant_000004.xyz,product_000004.xyz,72.18542738
reactant_000005.xyz,product_000005.xyz,87.37924597
reactant_000006.xyz,product_000006.xyz,71.71331666
reactant_000007.xyz,product_000007.xyz,56.20614875
reactant_000008.xyz,product_000008.xyz,75.92748564
reactant_000009.xyz,product_000009.xyz,78.87597814
reactant_000010.xyz,product_000010.xyz,114.53139636
reactant_000011.xyz,product_000011.xyz,83.62962255
reactant_000012.xyz,product_000012.xyz,60.39590456
reactant_000013.xyz,product_000013.xyz,115.77479245
reactant_000014.xyz,product_000014.xyz,60.40305535
reactant_000015.xyz,product_000015.xyz,49.64742594
reactant_000016.xyz,product_000016.xyz,77.61369801
reactant_000017.xyz,product_000017.xyz,43.07704844
reactant_000018.xyz,product_000018.xyz,113.08496551
reactant_000019.xyz,product_000019.xyz,122.35329412
reactant_000020.xyz,product_000020.xyz,101.66634863
reactant_000021.xyz,product_000021.xyz,77.85579142
reactant_000022.xyz,product_000022.xyz,97.40290662
reactant_000023.xyz,product_000023.xyz,63.76729920
reactant_000024.xyz,product_000024.xyz,113.86223557
reactant_000025.xyz,product_000025.xyz,90.47659038
reactant_000026.xyz,product_000026.xyz,111.04088668
reactant_000027.xyz,product_000027.xyz,99.06248267
reactant_000028.xyz,product_000028.xyz,113.90138953
reactant_000029.xyz,product_000029.xyz,113.81711081
reactant_000030.xyz,product_000030.xyz,125.10362254
reactant_000031.xyz,product_000031.xyz,122.87029663
reactant_000032.xyz,product_000032.xyz,77.85658354
reactant_000033.xyz,product_000033.xyz,105.59747102
reactant_000034.xyz,product_000034.xyz,119.09234698
reactant_000035.xyz,product_000035.xyz,118.33528651
reactant_000036.xyz,product_000036.xyz,125.28904506
reactant_000037.xyz,product_000037.xyz,140.69829678
reactant_000038.xyz,product_000038.xyz,110.12578723
reactant_000039.xyz,product_000039.xyz,117.74426278
reactant_000040.xyz,product_000040.xyz,72.78562168
reactant_000041.xyz,product_000041.xyz,70.64856639
reactant_000042.xyz,product_000042.xyz,53.94285216
reactant_000043.xyz,product_000043.xyz,44.15341210
reactant_000044.xyz,product_000044.xyz,105.91337979
reactant_000045.xyz,product_000045.xyz,122.81302538
reactant_000046.xyz,product_000046.xyz,78.94281051
reactant_000047.xyz,product_000047.xyz,81.87062187
reactant_000048.xyz,product_000048.xyz,44.15228587
reactant_000049.xyz,product_000049.xyz,46.67652703
reactant_000050.xyz,product_000050.xyz,88.85789655
reactant_000051.xyz,product_000051.xyz,79.41609152
reactant_000052.xyz,product_000052.xyz,59.11231921
reactant_000053.xyz,product_000053.xyz,60.45820107
reactant_000054.xyz,product_000054.xyz,95.28425189
reactant_000055.xyz,product_000055.xyz,98.03003592
reactant_000056.xyz,product_000056.xyz,65.93580731
reactant_000057.xyz,product_000057.xyz,77.93718902
reactant_000058.xyz,product_000058.xyz,103.03041317
reactant_000059.xyz,product_000059.xyz,101.83860091
reactant_000060.xyz,product_000060.xyz,59.98574399
reactant_000061.xyz,product_000061.xyz,88.78467895
reactant_000062.xyz,product_000062.xyz,60.09470417
reactant_000063.xyz,product_000063.xyz,109.51248805
reactant_000064.xyz,product_000064.xyz,151.37004201
reactant_000065.xyz,product_000065.xyz,100.46745870
reactant_000066.xyz,product_000066.xyz,94.03362570
reactant_000067.xyz,product_000067.xyz,68.77638144
reactant_000068.xyz,product_000068.xyz,101.43438834
reactant_000069.xyz,product_000069.xyz,97.48175994
reactant_000070.xyz,product_000070.xyz,98.93769367
reactant_000071.xyz,product_000071.xyz,115.21326517
reactant_000072.xyz,product_000072.xyz,75.27438987
reactant_000073.xyz,product_000073.xyz,61.36020697
reactant_000074.xyz,product_000074.xyz,94.59421444
reactant_000075.xyz,product_000075.xyz,86.68142400
reactant_000076.xyz,product_000076.xyz,94.27469328
reactant_000077.xyz,product_000077.xyz,71.60413381
reactant_000078.xyz,product_000078.xyz,92.59337757
reactant_000079.xyz,product_000079.xyz,44.09026427
reactant_000080.xyz,product_000080.xyz,105.79853021
reactant_000081.xyz,product_000081.xyz,74.72345883
reactant_000082.xyz,product_000082.xyz,104.28789937
reactant_000083.xyz,product_000083.xyz,89.29622040
reactant_000084.xyz,product_000084.xyz,68.81729030
reactant_000085.xyz,product_000085.xyz,75.85695448
reactant_000086.xyz,product_000086.xyz,128.61400802
reactant_000087.xyz,product_000087.xyz,42.65758629
reactant_000088.xyz,product_000088.xyz,60.36605647
reactant_000089.xyz,product_000089.xyz,99.84903346
reactant_000090.xyz,product_000090.xyz,61.76220788
reactant_000091.xyz,product_000091.xyz,70.27883832
reactant_000092.xyz,product_000092.xyz,69.68385553
reactant_000093.xyz,product_000093.xyz,90.13135709
reactant_000094.xyz,product_000094.xyz,69.60139146
reactant_000095.xyz,product_000095.xyz,57.13980803
reactant_000096.xyz,product_000096.xyz,75.04620603
reactant_000097.xyz,product_000097.xyz,69.12016417
reactant_000098.xyz,product_000098.xyz,58.61812877
reactant_000099.xyz,product_000099.xyz,101.56984729
reactant_000100.xyz,product_000100.xyz,54.62636081
reactant_000101.xyz,product_000101.xyz,63.33460530
reactant_000102.xyz,product_000102.xyz,58.17978449
reactant_000103.xyz,product_000103.xyz,57.61191939
reactant_000104.xyz,product_000104.xyz,62.45311122
reactant_000105.xyz,product_000105.xyz,82.64527190
reactant_000106.xyz,product_000106.xyz,110.89216998
reactant_000107.xyz,product_000107.xyz,63.49954907
reactant_000108.xyz,product_000108.xyz,68.64332848
reactant_000109.xyz,product_000109.xyz,60.81651329
reactant_000110.xyz,product_000110.xyz,53.10105000
reactant_000111.xyz,product_000111.xyz,51.99505264
reactant_000112.xyz,product_000112.xyz,49.18387863
reactant_000113.xyz,product_000113.xyz,63.29735424
reactant_000114.xyz,product_000114.xyz,60.15757870
reactant_000115.xyz,product_000115.xyz,63.78579733
