,name,en_react,en_prod,en_ts,f_barr,b_barr
0,CO_Cat001,-2496.79920608,-2496.79521727,-2496.78032711,11.846733025299999,9.34371685655
1,CO_Cat002,-2653.92116675,-2653.91677556,-2653.90178824,12.1601991209,9.404685679710001
2,CO_Cat003,-3125.3051559,-3125.30223505,-3125.28624833,11.8646797969,10.0318186738
3,CO_Cat004,-2811.03265844,-2811.03146754,-2811.01606518,10.4124282858,9.665127222310002
4,CO_Cat005,-2797.55272779,-2797.55384158,-2797.53639074,10.251654076900001,10.950567883
5,CO_Cat006,-3268.95035222,-3268.95422206,-3268.9376672,7.95997055765,10.3883319213
6,CO_Cat007,-3111.84680127,-3111.85061685,-3111.83410495,7.967061415060001,10.361374113
7,CO_Cat008,-3277.63836048,-3277.64057963,-3277.62783828,6.60278046074,7.995318167789999
8,CO_Cat009,-3263.1581714000004,-3263.16056092,-3263.14467668,8.46806499979,9.96751150035
9,CO_Cat010,-3720.95529188,-3720.95790835,-3720.94219275,8.219828516880002,9.861688298210002
10,CO_Cat011,-3659.92867272,-3659.93120838,-3659.91582609,8.061382368139999,9.652533106860002
11,CO_Cat012,-5101.04173295,-5101.04420688,-5101.02898389,8.00015626595,9.55257084368
12,CO_Cat013,-3420.30036146,-3420.30278904,-3420.28738064,8.14558786804,9.66891737984
13,CO_Cat014,-3420.2864670000004,-3420.28618604,-3420.27301741,8.43974549592,8.26344042677
14,CO_Cat015,-3420.30052323,-3420.30323689,-3420.28773733,8.02327371629,9.72612114587
15,CO_Cat016,-4178.71086947,-4178.71212831,-4178.699523800001,7.11951570892,7.90944976761
16,CO_Cat017,-3563.94810458,-3563.94739794,-3563.93266639,9.687610887630001,9.24418757463
17,CO_Cat018,-3721.08439854,-3721.1003911,-3721.06869205,9.85597168663,19.8914550157
18,CO_Cat019,-3960.70950878,-3960.7075955,-3960.69137903,11.3765903575,10.1759889815
19,CO_Cat020,-3721.09009286,-3721.09261788,-3721.07640002,8.59238718182,10.176861219600001
20,CO_Cat021,-5401.82394057,-5401.822047899999,-5401.80591273,11.3126408641,10.124972459
21,CO_Cat022,-3420.29880948,-3420.29697618,-3420.28129758,10.988883613099999,9.838470446839999
23,CO_Cat024,-2811.05007165,-2811.04454664,-2811.03067074,12.1742553337,8.70725907113
24,CO_Cat025,-3125.30850142,-3125.30557373,-3125.28958662,11.8692166906,10.0320634025
25,CO_Cat026,-3720.94367475,-3720.94304491,-3720.93442276,5.805711618869999,5.410481035469999
26,CO_Cat027,-3721.09767115,-3721.09886839,-3721.08253482,9.49819087022,10.2494703439
27,CO_Cat028,-3577.4429100999996,-3577.44110474,-3577.425766,10.758085619100001,9.625205068069999
28,CO_Cat029,-3817.06804207,-3817.0662816,-3817.05042811,11.0529272325,9.948215582969999
29,CO_Cat030,-2575.36022275,-2575.35538616,-2575.34160087,11.6854066078,8.6504004351
30,CO_Cat031,-2732.47790798,-2732.47421275,-2732.45965341,11.4549160934,9.136124163589999
31,CO_Cat032,-3203.86222386,-3203.85869912,-3203.84402289,11.4212815843,9.20947374923
32,CO_Cat033,-2889.58300086,-2889.585479,-2889.57156206,7.17795566871,8.7330120609
33,CO_Cat034,-2876.11127477,-2876.10913614,-2876.08807323,14.5591867645,13.2171761225
