name,en_prod
CO_Cat001,-2496.79521727
CO_Cat002,-2653.91677556
CO_Cat003,-3125.30223505
CO_Cat004,-2811.03146754
CO_Cat005,-2797.55384158
CO_Cat006,-3268.95422206
CO_Cat007,-3111.85061685
CO_Cat008,-3277.64057963
CO_Cat009,-3263.16056092
CO_Cat010,-3720.95790835
CO_Cat011,-3659.93120838
CO_Cat012,-5101.04420688
CO_Cat013,-3420.30278904
CO_Cat014,-3420.28618604
CO_Cat015,-3420.30323689
CO_Cat016,-4178.71212831
CO_Cat017,-3563.94739794
CO_Cat018,-3721.10039110
CO_Cat019,-3960.70759550
CO_Cat020,-3721.09261788
CO_Cat021,-5401.82204790
CO_Cat022,-3420.29697618
CO_Cat023,-3577.41985415
CO_Cat024,-2811.04454664
CO_Cat025,-3125.30557373
CO_Cat026,-3720.94304491
CO_Cat027,-3721.09886839
CO_Cat028,-3577.44110474
CO_Cat029,-3817.06628160
CO_Cat030,-2575.35538616
CO_Cat031,-2732.47421275
CO_Cat032,-3203.85869912
CO_Cat033,-2889.58547900
CO_Cat034,-2876.10913614
CO_Cat035,-3347.51860809
CO_Cat036,-3190.39681489
CO_Cat038,-3341.72043291
CO_Cat039,-3799.51775219
CO_Cat040,-3738.49205330
CO_Cat041,-5179.60400245
CO_Cat042,-3498.86364777
CO_Cat043,-3498.83662045
CO_Cat044,-3498.86370176
CO_Cat045,-4257.26627446
CO_Cat046,-3642.50995149
CO_Cat047,-3799.65023085
CO_Cat048,-4039.27559539
CO_Cat049,-3799.65121828
CO_Cat050,-5480.38608817
CO_Cat051,-3498.85699845
CO_Cat052,-3655.98745799
CO_Cat053,-2889.60343794
CO_Cat054,-3203.86216256
CO_Cat055,-3799.49964655
CO_Cat056,-3799.65741061
CO_Cat057,-3655.99665189
CO_Cat058,-3895.61847148
CO_Cat059,-2811.04698032
CO_Cat060,-2968.16676358
CO_Cat061,-3439.55199002
CO_Cat062,-3125.27819050
CO_Cat063,-3111.79375139
CO_Cat064,-3583.21337014
CO_Cat065,-3426.09055900
CO_Cat066,-3591.88925620
CO_Cat067,-3577.41441056
CO_Cat068,-4035.21176844
CO_Cat069,-3974.18602875
CO_Cat070,-5415.29876860
CO_Cat071,-3734.55801955
CO_Cat072,-3734.52547921
CO_Cat073,-3734.55852527
CO_Cat074,-4492.96029535
CO_Cat075,-3878.20462189
CO_Cat076,-4035.34504735
CO_Cat077,-4274.97047052
CO_Cat078,-4035.35202888
CO_Cat079,-5716.08574545
CO_Cat080,-3734.54254798
CO_Cat081,-3891.68325089
CO_Cat082,-3125.29637104
CO_Cat083,-3439.55552249
CO_Cat084,-4035.19385996
CO_Cat085,-4035.35095456
CO_Cat086,-3891.68484700
CO_Cat087,-4131.32034934
CO_Cat088,-2653.91908734
CO_Cat089,-2811.03744803
CO_Cat090,-3282.42328131
CO_Cat091,-2968.13014877
CO_Cat092,-2954.67448420
CO_Cat093,-3426.07649032
CO_Cat094,-3268.95857276
CO_Cat095,-3434.74407262
CO_Cat096,-3420.27647128
CO_Cat097,-3878.07429753
CO_Cat098,-3817.04838151
CO_Cat099,-5258.16137510
CO_Cat100,-3577.41968873
CO_Cat101,-3577.39179988
CO_Cat102,-3577.41479699
CO_Cat103,-4335.82260791
CO_Cat104,-3721.06940334
CO_Cat105,-3878.20522426
CO_Cat106,-4117.83933797
CO_Cat107,-3878.20319618
CO_Cat108,-5558.95151346
CO_Cat109,-3577.40703951
CO_Cat110,-3734.53395916
CO_Cat111,-2968.16735276
CO_Cat112,-3282.41744945
CO_Cat113,-3878.06840622
CO_Cat114,-3878.21983637
CO_Cat115,-3734.55730841
CO_Cat116,-3974.17742964
CO_Cat117,-2647.16235105
CO_Cat118,-2804.27609907
CO_Cat119,-3275.66704608
CO_Cat120,-2961.39728218
CO_Cat121,-2947.93743932
CO_Cat122,-3419.34735173
CO_Cat123,-3262.23424268
CO_Cat124,-3428.00094658
CO_Cat125,-3413.52212693
CO_Cat126,-3871.32100142
CO_Cat127,-3810.29489370
CO_Cat128,-5251.40695632
CO_Cat129,-3570.66585600
CO_Cat130,-3570.64608309
CO_Cat131,-3570.66598577
CO_Cat132,-4329.07330362
CO_Cat133,-3714.33720620
CO_Cat134,-3871.46648985
CO_Cat135,-4111.09237193
CO_Cat136,-3871.47991868
CO_Cat137,-5552.21274034
CO_Cat138,-3570.66196358
CO_Cat139,-3727.79451850
CO_Cat140,-2961.41319952
CO_Cat141,-3275.67245128
CO_Cat142,-3871.31112481
CO_Cat144,-3727.80379600
CO_Cat145,-3967.42933704
CO_Cat146,-2882.86641714
CO_Cat147,-3039.98894494
