name,en_ts
CO_Cat001,-2496.78032711
CO_Cat002,-2653.90178824
CO_Cat003,-3125.28624833
CO_Cat004,-2811.01606518
CO_Cat005,-2797.53639074
CO_Cat006,-3268.93766720
CO_Cat007,-3111.83410495
CO_Cat008,-3277.62783828
CO_Cat009,-3263.14467668
CO_Cat010,-3720.94219275
CO_Cat011,-3659.91582609
CO_Cat012,-5101.02898389
CO_Cat013,-3420.28738064
CO_Cat014,-3420.27301741
CO_Cat015,-3420.28773733
CO_Cat016,-4178.69952380
CO_Cat017,-3563.93266639
CO_Cat018,-3721.06869205
CO_Cat019,-3960.69137903
CO_Cat020,-3721.07640002
CO_Cat021,-5401.80591273
CO_Cat022,-3420.28129758
CO_Cat023,-3577.41337455
CO_Cat024,-2811.03067074
CO_Cat025,-3125.28958662
CO_Cat026,-3720.93442276
CO_Cat027,-3721.08253482
CO_Cat028,-3577.42576600
CO_Cat029,-3817.05042811
CO_Cat030,-2575.34160087
CO_Cat031,-2732.45965341
CO_Cat032,-3203.84402289
CO_Cat033,-2889.57156206
CO_Cat034,-2876.08807323
CO_Cat035,-3347.50076041
CO_Cat036,-3190.38234358
CO_Cat038,-3341.70585417
CO_Cat039,-3799.50288432
CO_Cat040,-3738.47748353
CO_Cat041,-5179.59053348
CO_Cat042,-3498.84903019
CO_Cat043,-3498.82672139
CO_Cat044,-3498.84909077
CO_Cat045,-4257.25975309
CO_Cat046,-3642.49081960
CO_Cat047,-3799.63102341
CO_Cat048,-4039.25617392
CO_Cat049,-3799.63441545
CO_Cat050,-5480.37326641
CO_Cat051,-3498.84254632
CO_Cat052,-3655.97119160
CO_Cat053,-2889.58881104
CO_Cat054,-3203.84702563
CO_Cat055,-3799.48527213
CO_Cat056,-3799.64243377
CO_Cat057,-3655.98389990
CO_Cat058,-3895.60436272
CO_Cat059,-2811.03304699
CO_Cat060,-2968.15184093
CO_Cat061,-3439.53651191
CO_Cat062,-3125.26475821
CO_Cat063,-3111.77787657
CO_Cat064,-3583.19549064
CO_Cat065,-3426.07633056
CO_Cat066,-3591.87566418
CO_Cat067,-3577.39963256
CO_Cat068,-4035.19654245
CO_Cat069,-3974.17105469
CO_Cat070,-5415.28368197
CO_Cat071,-3734.54301237
CO_Cat072,-3734.51586634
CO_Cat073,-3734.54353744
CO_Cat074,-4492.95343882
CO_Cat075,-3878.18477667
CO_Cat076,-4035.32528825
CO_Cat077,-4274.95051536
CO_Cat078,-4035.33364925
CO_Cat079,-5716.06585090
CO_Cat080,-3734.52802918
CO_Cat081,-3891.66636396
CO_Cat082,-3125.28108426
CO_Cat083,-3439.54034165
CO_Cat084,-4035.18196156
CO_Cat085,-4035.33605342
CO_Cat086,-3891.67192960
CO_Cat087,-4131.30998700
CO_Cat088,-2653.90250660
CO_Cat089,-2811.02084835
CO_Cat090,-3282.40608805
CO_Cat091,-2968.11830579
CO_Cat092,-2954.65309785
CO_Cat093,-3426.06271865
