name,en_ts
Ir_Cat001,-1218.64816038
Ir_Cat002,-1375.77226679
Ir_Cat003,-1847.15638134
Ir_Cat004,-1532.88783151
Ir_Cat005,-1519.40575104
Ir_Cat006,-1990.81558950
Ir_Cat007,-1833.70570318
Ir_Cat008,-1999.49701496
Ir_Cat009,-1985.01333021
Ir_Cat010,-2442.81069452
Ir_Cat011,-2381.78572836
Ir_Cat012,-3822.89873676
Ir_Cat013,-2142.15659362
Ir_Cat014,-2142.14219140
Ir_Cat015,-2142.15722212
Ir_Cat016,-2900.56085260
Ir_Cat017,-2285.79514321
Ir_Cat018,-2442.93529967
Ir_Cat019,-2682.56831979
Ir_Cat020,-2442.94386082
Ir_Cat021,-4123.68137103
Ir_Cat022,-2142.15030097
Ir_Cat023,-2299.29227658
Ir_Cat024,-1532.90189950
Ir_Cat025,-1847.16091671
Ir_Cat026,-2442.79846477
Ir_Cat027,-2442.95019803
Ir_Cat028,-2299.29462248
Ir_Cat029,-2538.91947324
Ir_Cat030,-1297.21023099
Ir_Cat031,-1454.33052715
Ir_Cat032,-1925.71541394
Ir_Cat033,-1611.44361943
Ir_Cat034,-1597.96866010
Ir_Cat035,-2069.37210801
Ir_Cat036,-1912.25528637
Ir_Cat037,-2078.05409107
Ir_Cat038,-2063.57519229
Ir_Cat039,-2521.37245824
Ir_Cat040,-2460.34684520
Ir_Cat041,-3901.45968364
Ir_Cat042,-2220.71828060
Ir_Cat043,-2220.69526102
Ir_Cat044,-2220.71858309
Ir_Cat045,-2979.12177006
Ir_Cat046,-2364.36021426
Ir_Cat047,-2521.50050731
Ir_Cat048,-2761.12564030
Ir_Cat049,-2521.50687872
Ir_Cat050,-4202.24985278
Ir_Cat051,-2220.71260896
Ir_Cat052,-2377.84039884
Ir_Cat053,-1611.45990710
Ir_Cat054,-1925.71891780
Ir_Cat055,-2521.35940113
Ir_Cat056,-2521.51088998
Ir_Cat057,-2377.85234023
Ir_Cat058,-2617.48243638
Ir_Cat059,-1532.90177640
Ir_Cat060,-1690.02274995
Ir_Cat061,-2161.40768113
Ir_Cat062,-1847.13652795
Ir_Cat063,-1833.64552623
Ir_Cat064,-2305.06474528
Ir_Cat065,-2147.94814157
Ir_Cat066,-2313.74756538
Ir_Cat067,-2299.26885877
Ir_Cat068,-2757.06647142
Ir_Cat069,-2696.04029943
Ir_Cat070,-4137.15337933
Ir_Cat071,-2456.41253122
Ir_Cat072,-2456.38037268
Ir_Cat073,-2456.41308541
Ir_Cat074,-3214.81498281
Ir_Cat075,-2600.06857042
Ir_Cat076,-2757.19499306
Ir_Cat077,-2996.83382311
Ir_Cat078,-2757.19750904
Ir_Cat079,-4437.94979741
Ir_Cat080,-2456.40530794
Ir_Cat081,-2613.53935453
Ir_Cat082,-1847.15216810
Ir_Cat083,-2161.41168665
Ir_Cat084,-2757.04591644
Ir_Cat085,-2757.20453620
Ir_Cat086,-2613.54289715
Ir_Cat087,-2853.17530529
Ir_Cat088,-1375.77278344
Ir_Cat089,-1532.89314068
Ir_Cat090,-2004.27853639
Ir_Cat091,-1689.98997688
Ir_Cat092,-1676.52018827
Ir_Cat093,-2147.93176026
Ir_Cat094,-1990.82030624
Ir_Cat095,-2156.60268264
Ir_Cat096,-2142.13086931
Ir_Cat097,-2599.92859372
Ir_Cat098,-2538.90226943
Ir_Cat099,-3980.01521412
Ir_Cat100,-2299.27419796
Ir_Cat101,-2299.25266608
Ir_Cat102,-2299.27472382
Ir_Cat103,-3057.67928004
Ir_Cat104,-2442.91999692
Ir_Cat105,-2600.06712782
Ir_Cat106,-2839.69361603
Ir_Cat107,-2600.06390373
Ir_Cat108,-4280.80747037
Ir_Cat109,-2299.25987548
Ir_Cat110,-2456.39122433
Ir_Cat111,-1690.02282837
Ir_Cat112,-2004.27631361
Ir_Cat113,-2599.92181769
Ir_Cat114,-2600.07202477
Ir_Cat115,-2456.41637793
Ir_Cat116,-2696.04422751
Ir_Cat117,-1369.01650012
Ir_Cat118,-1526.14284563
Ir_Cat119,-1997.52151682
Ir_Cat120,-1683.25392214
Ir_Cat121,-1669.79069150
Ir_Cat122,-2141.19993966
Ir_Cat123,-1984.09441171
Ir_Cat124,-2149.87021823
Ir_Cat125,-2135.37805685
Ir_Cat126,-2593.17463742
Ir_Cat127,-2532.15041112
Ir_Cat128,-3973.26252125
Ir_Cat129,-2292.52170303
Ir_Cat130,-2292.50518248
Ir_Cat131,-2292.52165292
Ir_Cat132,-3050.92161569
Ir_Cat133,-2436.18665683
Ir_Cat134,-2593.32818122
Ir_Cat135,-2832.95020208
Ir_Cat136,-2593.31861629
Ir_Cat138,-2292.51781321
Ir_Cat139,-2449.65643186
Ir_Cat140,-1683.27179418
Ir_Cat141,-1997.53601253
Ir_Cat142,-2593.16431898
Ir_Cat143,-2593.32616529
Ir_Cat144,-2449.65748693
Ir_Cat145,-2689.28440911
Ir_Cat146,-1604.72129110
Ir_Cat147,-1761.84509660
Ir_Cat148,-2233.22432008
Ir_Cat149,-1918.95585810
Ir_Cat150,-1905.49114038
Ir_Cat151,-2376.90494259
Ir_Cat152,-2219.79161763
Ir_Cat154,-2371.07830696
Ir_Cat155,-2828.87840837
Ir_Cat156,-2767.85473533
Ir_Cat157,-4208.96261396
Ir_Cat158,-2528.22638745
Ir_Cat159,-2528.18495245
Ir_Cat160,-2528.22514252
Ir_Cat161,-3286.62442413
Ir_Cat162,-2671.88665843
Ir_Cat163,-2829.03047569
Ir_Cat164,-3068.66284728
Ir_Cat165,-2829.03874369
Ir_Cat166,-4509.77809669
Ir_Cat167,-2528.21761290
Ir_Cat168,-2685.35153832
Ir_Cat169,-1918.96968821
Ir_Cat170,-2233.22972214
Ir_Cat171,-2828.86585480
Ir_Cat172,-2829.03243655
Ir_Cat173,-2685.35405305
Ir_Cat174,-2924.99176994
Ir_Cat175,-1526.16617033
Ir_Cat176,-1683.28608352
Ir_Cat177,-2154.67068489
Ir_Cat178,-1840.39978905
Ir_Cat179,-1826.93405566
Ir_Cat180,-2298.34858039
Ir_Cat181,-2141.23946776
Ir_Cat182,-2307.00939011
Ir_Cat183,-2292.52111979
Ir_Cat184,-2750.31923660
Ir_Cat185,-2689.29344008
Ir_Cat186,-4130.41865606
Ir_Cat187,-2449.66486880
Ir_Cat188,-2449.66128023
Ir_Cat189,-2449.66688103
Ir_Cat190,-3208.06879521
Ir_Cat191,-2593.33074697
Ir_Cat192,-2750.48195196
Ir_Cat193,-2990.10739143
Ir_Cat194,-2750.48148166
Ir_Cat195,-4431.21508005
Ir_Cat196,-2449.66411756
Ir_Cat197,-2606.79231866
Ir_Cat198,-1840.41485291
Ir_Cat199,-2154.67344577
Ir_Cat200,-2750.31008314
Ir_Cat201,-2750.47860458
Ir_Cat202,-2606.79756782
Ir_Cat203,-2846.43069923
Ir_Cat204,-1609.07750720
Ir_Cat205,-1766.19641727
Ir_Cat206,-2237.58379941
Ir_Cat207,-1923.29930843
Ir_Cat208,-1909.83095447
Ir_Cat209,-2381.23597945
Ir_Cat210,-2224.12541931
Ir_Cat211,-2389.91027874
Ir_Cat212,-2375.43828108
Ir_Cat213,-2833.23627427
Ir_Cat214,-2772.20988470
Ir_Cat215,-4213.32323293
Ir_Cat216,-2532.58206016
Ir_Cat217,-2532.55066886
Ir_Cat218,-2532.58233600
Ir_Cat219,-3290.98541716
Ir_Cat221,-2833.29244959
Ir_Cat223,-2833.38018947
Ir_Cat225,-2532.58388162
Ir_Cat226,-2689.70174593
Ir_Cat227,-1923.32685095
Ir_Cat228,-2237.58639536
Ir_Cat229,-2833.22010484
Ir_Cat230,-2833.37702761
Ir_Cat231,-2689.71643215
Ir_Cat232,-2929.34470939
Ir_Cat233,-1601.83231952
Ir_Cat234,-1758.95360574
Ir_Cat235,-2230.34016822
Ir_Cat236,-1916.06905138
Ir_Cat237,-1902.58609382
Ir_Cat238,-2373.99790072
Ir_Cat239,-2216.88813604
Ir_Cat240,-2382.68057018
Ir_Cat241,-2368.18894267
Ir_Cat242,-2825.98749353
Ir_Cat243,-2764.96217068
Ir_Cat244,-4206.07477211
Ir_Cat245,-2525.33306427
Ir_Cat246,-2525.32069279
Ir_Cat247,-2525.33378660
Ir_Cat248,-3283.72400758
Ir_Cat249,-2668.97818795
Ir_Cat250,-2826.12722661
Ir_Cat251,-3065.75277882
Ir_Cat252,-2826.11878582
Ir_Cat253,-4506.86121084
Ir_Cat254,-2525.33641345
Ir_Cat255,-2682.46356715
Ir_Cat256,-1916.08431651
Ir_Cat257,-2230.34444350
Ir_Cat258,-2825.98063309
Ir_Cat259,-2826.12548280
Ir_Cat260,-2682.47414305
Ir_Cat261,-2922.10712848
Ir_Cat262,-1830.73046550
Ir_Cat263,-1987.85188506
Ir_Cat264,-2459.23891285
Ir_Cat265,-2144.96202113
Ir_Cat266,-2131.48452788
Ir_Cat267,-2602.89490168
Ir_Cat268,-2445.78694420
Ir_Cat269,-2611.57932374
Ir_Cat270,-2597.08810964
Ir_Cat271,-3054.88608767
Ir_Cat272,-2993.86117406
Ir_Cat273,-4434.97467736
Ir_Cat274,-2754.23267182
Ir_Cat275,-2754.21645635
Ir_Cat276,-2754.23413591
Ir_Cat277,-3512.55714575
Ir_Cat278,-2897.88314177
Ir_Cat279,-3055.00996789
Ir_Cat280,-3294.65448708
Ir_Cat281,-3055.01592816
Ir_Cat282,-4735.75123083
Ir_Cat283,-2754.23524627
Ir_Cat284,-2911.36006432
Ir_Cat285,-2144.98238774
Ir_Cat286,-2459.24388471
Ir_Cat287,-3054.87912223
Ir_Cat288,-3055.02994171
Ir_Cat289,-2911.37385000
Ir_Cat290,-3151.00022878
Ir_Cat291,-1800.21844268
Ir_Cat292,-1957.34267091
Ir_Cat293,-2428.72505986
Ir_Cat294,-2114.45439162
Ir_Cat295,-2100.97279588
Ir_Cat296,-2572.38228646
Ir_Cat297,-2415.27443011
