name,en_prod
Rh_Cat100,-2305.48713485
Rh_Cat101,-2305.46563240
Rh_Cat102,-2305.48784880
Rh_Cat103,-3063.88746857
Rh_Cat104,-2449.13811249
Rh_Cat105,-2606.27717048
Rh_Cat106,-2845.90242460
Rh_Cat107,-2606.27895183
Rh_Cat108,-4287.01785780
Rh_Cat109,-2305.48316301
Rh_Cat10,-2449.01791223
Rh_Cat110,-2462.61466243
Rh_Cat111,-1696.23438114
Rh_Cat112,-2010.49210476
Rh_Cat113,-2606.12382114
Rh_Cat114,-2606.28419625
Rh_Cat115,-2462.62470248
Rh_Cat116,-2702.25461536
Rh_Cat117,-1375.22754771
Rh_Cat118,-1532.34605104
Rh_Cat119,-2003.73038228
Rh_Cat11,-2387.99198876
Rh_Cat120,-1689.46709211
Rh_Cat121,-1675.99656674
Rh_Cat122,-2147.40752106
Rh_Cat123,-1990.30140984
Rh_Cat124,-2156.06954988
Rh_Cat125,-2141.58544044
Rh_Cat126,-2599.38481799
Rh_Cat127,-2538.35779573
Rh_Cat128,-3979.46964179
Rh_Cat129,-2298.72921169
Rh_Cat12,-3829.10698195
Rh_Cat130,-2298.71903213
Rh_Cat131,-2298.72844083
Rh_Cat132,-3057.13089379
Rh_Cat133,-2442.38322771
Rh_Cat134,-2599.52337032
Rh_Cat135,-2839.15811071
Rh_Cat136,-2599.54149772
Rh_Cat137,-4280.27301166
Rh_Cat138,-2298.73114558
Rh_Cat139,-2455.86541466
Rh_Cat13,-2148.36543507
Rh_Cat140,-1689.47520281
Rh_Cat141,-2003.74298245
Rh_Cat142,-2599.37545651
Rh_Cat143,-2599.53442697
Rh_Cat144,-2455.87469009
Rh_Cat145,-2695.50116389
Rh_Cat146,-1610.92977670
Rh_Cat147,-1768.04865613
Rh_Cat148,-2239.43399557
Rh_Cat149,-1925.16135244
Rh_Cat14,-2148.35235471
Rh_Cat150,-1911.70267359
Rh_Cat151,-2383.11775591
Rh_Cat152,-2226.00391440
Rh_Cat153,-2391.77243712
Rh_Cat154,-2377.29671333
Rh_Cat155,-2835.08429518
Rh_Cat156,-2774.06171721
Rh_Cat157,-4215.18086530
Rh_Cat159,-2534.38354439
Rh_Cat15,-2148.36570919
Rh_Cat160,-2534.42910813
Rh_Cat161,-3292.85001007
Rh_Cat162,-2678.09372067
Rh_Cat163,-2835.24194433
Rh_Cat164,-3074.86322065
Rh_Cat165,-2835.24853672
Rh_Cat166,-4515.98063304
Rh_Cat167,-2534.41950239
Rh_Cat168,-2691.57204750
Rh_Cat169,-1925.17954906
Rh_Cat16,-2906.77395664
Rh_Cat170,-2239.42979726
Rh_Cat171,-2835.07074308
Rh_Cat172,-2835.23752619
Rh_Cat173,-2691.57547001
Rh_Cat174,-2931.19072931
Rh_Cat175,-1532.37853564
Rh_Cat176,-1689.49528207
Rh_Cat177,-2160.88071816
Rh_Cat178,-1846.60702885
Rh_Cat179,-1833.14363069
Rh_Cat17,-2292.00942094
Rh_Cat180,-2304.55335346
Rh_Cat181,-2147.45120481
Rh_Cat182,-2313.21869392
Rh_Cat183,-2298.73490755
Rh_Cat184,-2756.53599874
Rh_Cat185,-2695.50753101
Rh_Cat186,-4136.62034274
Rh_Cat187,-2455.88100862
Rh_Cat188,-2455.87153022
Rh_Cat189,-2455.87653791
Rh_Cat18,-2449.15415549
Rh_Cat190,-3214.27150060
Rh_Cat191,-2599.54379285
Rh_Cat192,-2756.68661418
Rh_Cat193,-2996.31162080
Rh_Cat194,-2756.69145528
Rh_Cat195,-4437.42756406
Rh_Cat196,-2455.87618347
Rh_Cat197,-2613.01759411
Rh_Cat198,-1846.62546674
Rh_Cat199,-2160.88285769
Rh_Cat19,-2688.77908209
Rh_Cat1,-1224.85882719
Rh_Cat200,-2756.51757590
Rh_Cat201,-2756.68967266
Rh_Cat202,-2613.01348924
Rh_Cat203,-2852.63813830
Rh_Cat204,-1615.28825708
Rh_Cat205,-1772.40900395
Rh_Cat206,-2243.79671073
Rh_Cat207,-1929.51080631
Rh_Cat208,-1916.04060712
