name,en_react
Rh_Cat100,-2305.48227885
Rh_Cat101,-2305.45699499
Rh_Cat102,-2305.47996287
Rh_Cat103,-3063.88572285
Rh_Cat104,-2449.13550475
Rh_Cat105,-2606.27121032
Rh_Cat106,-2845.89670917
Rh_Cat107,-2606.27248742
Rh_Cat108,-4287.01176960
Rh_Cat109,-2305.48014017
Rh_Cat10,-2449.01729000
Rh_Cat110,-2462.59932910
Rh_Cat111,-1696.22709849
Rh_Cat112,-2010.54398658
Rh_Cat113,-2606.11938914
Rh_Cat114,-2606.27318202
Rh_Cat115,-2462.62003810
Rh_Cat116,-2702.24078463
Rh_Cat117,-1375.22449205
Rh_Cat118,-1532.34485794
Rh_Cat119,-2003.72986331
Rh_Cat11,-2387.99044911
Rh_Cat120,-1689.46547220
Rh_Cat121,-1675.99554545
Rh_Cat122,-2147.40005047
Rh_Cat123,-1990.29698988
Rh_Cat124,-2156.07027458
Rh_Cat125,-2141.58413481
Rh_Cat126,-2599.38291910
Rh_Cat127,-2538.35651622
Rh_Cat128,-3979.46853881
Rh_Cat129,-2298.72783188
Rh_Cat12,-3829.10480999
Rh_Cat130,-2298.71231404
Rh_Cat131,-2298.72772158
Rh_Cat132,-3057.13617703
Rh_Cat133,-2442.38669368
Rh_Cat134,-2599.52826460
Rh_Cat135,-2839.15203641
Rh_Cat136,-2599.53342929
Rh_Cat137,-4280.26756998
Rh_Cat138,-2298.72558579
Rh_Cat139,-2455.86274493
Rh_Cat13,-2148.36318495
Rh_Cat140,-1689.47345865
Rh_Cat141,-2003.73815893
Rh_Cat142,-2599.37149906
Rh_Cat143,-2599.53033329
Rh_Cat144,-2455.86775917
Rh_Cat145,-2695.49577893
Rh_Cat146,-1610.92688590
Rh_Cat147,-1768.04810681
Rh_Cat148,-2239.43588412
Rh_Cat149,-1925.15928897
Rh_Cat14,-2148.35122219
Rh_Cat150,-1911.69534358
Rh_Cat151,-2383.10106351
Rh_Cat152,-2225.99897440
Rh_Cat153,-2391.77160260
Rh_Cat154,-2377.28223203
Rh_Cat155,-2835.08429437
Rh_Cat156,-2774.05923861
Rh_Cat157,-4215.16633169
Rh_Cat159,-2534.38856409
Rh_Cat15,-2148.36356828
Rh_Cat160,-2534.43003964
Rh_Cat161,-3292.83177962
Rh_Cat162,-2678.08944929
Rh_Cat163,-2835.23543753
Rh_Cat164,-3074.85754856
Rh_Cat165,-2835.24411612
Rh_Cat166,-4515.97260459
Rh_Cat167,-2534.42119763
Rh_Cat168,-2691.56597317
Rh_Cat169,-1925.17446091
Rh_Cat16,-2906.77319113
Rh_Cat170,-2239.43608257
Rh_Cat171,-2835.07010022
Rh_Cat172,-2835.23784870
Rh_Cat173,-2691.56869030
Rh_Cat174,-2931.19114591
Rh_Cat175,-1532.37467522
Rh_Cat176,-1689.49686165
Rh_Cat177,-2160.88139623
Rh_Cat178,-1846.60534734
Rh_Cat179,-1833.14053372
Rh_Cat17,-2292.00355500
Rh_Cat180,-2304.55444904
Rh_Cat181,-2147.44799353
Rh_Cat182,-2313.21539694
Rh_Cat183,-2298.73457963
Rh_Cat184,-2756.53275210
Rh_Cat185,-2695.50718977
Rh_Cat186,-4136.61957390
Rh_Cat187,-2455.87823462
Rh_Cat188,-2455.86735425
Rh_Cat189,-2455.88011522
Rh_Cat18,-2449.15184028
Rh_Cat190,-3214.27987590
Rh_Cat191,-2599.53618767
Rh_Cat192,-2756.68501082
Rh_Cat193,-2996.31023832
Rh_Cat194,-2756.68423738
Rh_Cat195,-4437.42639753
Rh_Cat196,-2455.87353902
Rh_Cat197,-2613.00712832
Rh_Cat198,-1846.62564034
Rh_Cat199,-2160.88346088
Rh_Cat19,-2688.77656404
Rh_Cat1,-1224.85831474
Rh_Cat200,-2756.52477728
Rh_Cat201,-2756.68766734
Rh_Cat202,-2613.01217803
Rh_Cat203,-2852.63755142
Rh_Cat204,-1615.28810381
Rh_Cat205,-1772.40160117
Rh_Cat206,-2243.79226760
Rh_Cat207,-1929.50498508
Rh_Cat208,-1916.03570176
Rh_Cat209,-2387.43746603
Rh_Cat20,-2449.15297033
Rh_Cat210,-2230.32861438
Rh_Cat211,-2396.11628300
Rh_Cat212,-2381.64901079
Rh_Cat213,-2839.44700208
Rh_Cat214,-2778.42043402
Rh_Cat215,-4219.53404782
Rh_Cat216,-2538.79295192
Rh_Cat217,-2538.74797919
Rh_Cat218,-2538.79334121
Rh_Cat219,-3297.19098457
Rh_Cat21,-4129.88706151
Rh_Cat223,-2839.58421800
Rh_Cat225,-2538.77615997
Rh_Cat226,-2695.90760205
Rh_Cat227,-1929.53233023
Rh_Cat228,-2243.79529991
Rh_Cat229,-2839.42744679
Rh_Cat22,-2148.35802275
Rh_Cat230,-2839.58003600
Rh_Cat231,-2695.92119809
Rh_Cat232,-2935.55037479
Rh_Cat233,-1608.04054649
Rh_Cat234,-1765.16130384
Rh_Cat235,-2236.54733540
Rh_Cat236,-1922.27560141
Rh_Cat237,-1908.78747782
Rh_Cat238,-2380.19420740
Rh_Cat239,-2223.08723710
Rh_Cat23,-2305.49512155
Rh_Cat240,-2388.88756910
Rh_Cat241,-2374.39457940
Rh_Cat242,-2832.19299910
Rh_Cat244,-4212.28319495
Rh_Cat245,-2531.53885662
Rh_Cat246,-2531.52154406
Rh_Cat247,-2531.54362277
Rh_Cat248,-3289.93786563
Rh_Cat249,-2675.17926773
Rh_Cat24,-1539.11051882
Rh_Cat250,-2832.32924201
Rh_Cat251,-3071.95486577
Rh_Cat252,-2832.32372734
Rh_Cat253,-4513.06802618
Rh_Cat254,-2531.54123402
Rh_Cat255,-2688.67365250
Rh_Cat256,-1922.29209821
Rh_Cat257,-2236.55186844
Rh_Cat258,-2832.18584856
Rh_Cat259,-2832.33529095
Rh_Cat25,-1853.36889666
Rh_Cat260,-2688.68057650
Rh_Cat261,-2928.30675786
