,name,en_react,en_prod,en_ts,f_barr,b_barr
22,Rh_Cat121,-1675.99554545,-1675.99656674,-1675.97416507,13.4163915636,14.057260740799999
35,Rh_Cat133,-2442.38669368,-2442.38322771,-2442.36355221,14.521492269100001,12.3465631674
36,Rh_Cat134,-2599.5282645999996,-2599.52337032,-2599.50497689,14.6132592584,11.5420520628
62,Rh_Cat159,-2534.38856409,-2534.38354439,-2534.36733675,13.3203575096,10.1704480727
71,Rh_Cat167,-2534.42119763,-2534.41950239,-2534.3964349,15.5388483209,14.4750691164
77,Rh_Cat172,-2835.2378487,-2835.23752619,-2835.2152938,14.153414021600002,13.9510359328
79,Rh_Cat174,-2931.19114591,-2931.19072931,-2931.16968334,13.4679665694,13.206546111500002
89,Rh_Cat183,-2298.73457963,-2298.73490755,-2298.71357216,13.182386996199998,13.3881599114
91,Rh_Cat185,-2695.50718977,-2695.50753101,-2695.48620672,13.1670632139,13.381194555699999
92,Rh_Cat186,-4136.6195739,-4136.62034274,-4136.59906635,12.8686824472,13.3511368506
95,Rh_Cat189,-2455.88011522,-2455.87653791,-2455.85529667,15.5738759012,13.329079891800001
109,Rh_Cat200,-2756.52477728,-2756.5175759,-2756.50171674,14.470707925,9.951773561869999
118,Rh_Cat209,-2387.43746603,-2387.43960043,-2387.41765355,12.432519418499998,13.7718756954
129,Rh_Cat21,-4129.88706151,-4129.88070179,-4129.86383499,14.574861952100001,10.5840772344
135,Rh_Cat229,-2839.42744679,-2839.42153003,-2839.40614935,13.364345925799999,9.65152281669
146,Rh_Cat239,-2223.0872371,-2223.08692995,-2223.06561001,13.5712044324,13.3784648894
149,Rh_Cat241,-2374.3945794,-2374.39209544,-2374.37399159,12.919046359200001,11.360337861600001
159,Rh_Cat251,-3071.95486577,-3071.9569876999994,-3071.9344053000004,12.839139299600001,14.170670532699999
177,Rh_Cat268,-2451.98609,-2451.98647999,-2451.96469145,13.4277934112,13.672515841300001
199,Rh_Cat288,-3061.23392256,-3061.23593216,-3061.21288187,13.2032328616,14.464275953
209,Rh_Cat297,-2421.47120119,-2421.47358922,-2421.45169471,12.240501511600002,13.7390130229
219,Rh_Cat305,-2729.85182731,-2729.84847955,-2729.8294705,14.029110664700001,11.928359461
223,Rh_Cat309,-3270.34119873,-3270.3429565,-3270.32065541,12.891128461500001,13.9941458353
241,Rh_Cat326,-3142.02716643,-3142.02935457,-3142.00773215,12.195195325699999,13.5682739632
243,Rh_Cat328,-3293.34273104,-3293.33630701,-3293.31567331,16.9789826236,12.9478427701
246,Rh_Cat330,-3690.11418333,-3690.10808044,-3690.08777139,16.5737432634,12.7441218109
247,Rh_Cat331,-5131.22107038,-5131.22030171,-5131.19962181,13.459181436300002,12.976833708900001
249,Rh_Cat333,-3450.4676535999997,-3450.46200893,-3450.44666115,13.1729618033,9.63087775388
254,Rh_Cat338,-3990.8964853,-3990.89824942,-3990.87612267,12.777743770199999,13.8847458292
257,Rh_Cat340,-5432.01109462,-5432.01309761,-5431.99080192,12.7338620307,13.9907572839
263,Rh_Cat346,-3751.27527919,-3751.27727035,-3751.25484118,12.825045436300002,14.0745172522
273,Rh_Cat355,-2301.65912852,-2301.65891218,-2301.63741507,13.625396152999999,13.4896407475
286,Rh_Cat367,-3150.52749472,-3150.5296553000003,-3150.50700164,12.8596023843,14.2153868597
300,Rh_Cat37,-2084.26053289,-2084.25863942,-2084.23644871,15.1130517497,13.9248813367
318,Rh_Cat396,-3150.51947847,-3150.52194316,-3150.49844237,13.2003525932,14.7469689825
338,Rh_Cat413,-2301.65886166,-2301.65933141,-2301.63790473,13.150672665799998,13.445445253399999
350,Rh_Cat424,-2910.9016735,-2910.90387343,-2910.88086524,13.0573808286,14.437857803
351,Rh_Cat425,-3150.51595263,-3150.52135243,-3150.49481716,13.262708212,16.651134010299998
359,Rh_Cat433,-2910.90450543,-2910.90705634,-2910.88420421,12.739208411600002,14.339928670299999
376,Rh_Cat449,-2989.29154317,-2989.28386908,-2989.27441411,10.7486478759,5.933083497059999
399,Rh_Cat473,-2524.78520475,-2524.78548238,-2524.76639328,11.804376133900002,11.978591596300001
400,Rh_Cat474,-2982.58520866,-2982.5856818,-2982.56557445,12.3206532999,12.617553145
401,Rh_Cat475,-2921.55738852,-2921.55830522,-2921.53838001,11.928020605999999,12.503258564600001
409,Rh_Cat482,-2982.72110966,-2982.71995275,-2982.6987729,14.016529099000001,13.2905570835
410,Rh_Cat483,-3222.36040314,-3222.3464147,-3222.32352735,23.139908545,14.3620295548
418,Rh_Cat490,-2982.56778764,-2982.56217731,-2982.54614695,13.579738561500001,10.0592031885
419,Rh_Cat491,-2982.73562768,-2982.73732448,-2982.7147551,13.0977422397,14.162500359300001
427,Rh_Cat499,-2609.17033133,-2609.17108628,-2609.14838973,13.7685624452,14.2423007423
432,Rh_Cat502,-2603.35519158,-2603.35547916,-2603.33634845,11.8242430846,12.0047022667
433,Rh_Cat503,-3061.1535277,-3061.15161086,-3061.12950221,15.0762232171,13.8733879072
434,Rh_Cat504,-3000.12750656,-3000.12805577,-3000.10876985,11.757463523599998,12.102098016300001
435,Rh_Cat505,-4441.23965338,-4441.24025948,-4441.22101317,11.6969088569,12.0772423645
437,Rh_Cat507,-2760.49242211,-2760.48249157,-2760.47387569,11.6380547409,5.406546550850001
443,Rh_Cat512,-3300.91756778,-3300.91600318,-3300.89518634,14.0445662238,13.0627648602
445,Rh_Cat514,-4742.0328263,-4742.03161053,-4742.010502300001,14.008522078299999,13.2456148533
452,Rh_Cat520,-3061.3009377,-3061.30221386,-3061.27964751,13.3597964818,14.1605990053
459,Rh_Cat528,-2728.98373226,-2728.98420322,-2728.96153918,13.9263685345,14.2219004084
460,Rh_Cat529,-2571.87932995,-2571.88184388,-2571.85810159,13.320997569400001,14.898512526700001
463,Rh_Cat531,-2723.16878912,-2723.16884088,-2723.14977229,11.9332414849,11.965721376700001
464,Rh_Cat532,-3180.96951308,-3180.96954027,-3180.94969358,12.4369245354,12.453986518599999
465,Rh_Cat533,-3119.93570727,-3119.9291238,-3119.91214244,14.7871546908,10.6559647229
466,Rh_Cat534,-4561.05230225,-4561.05268888,-4561.03349404,11.8023304532,12.0449444508
467,Rh_Cat535,-2880.31349102,-2880.31388467,-2880.29397194,12.248408131300002,12.495427245799998
468,Rh_Cat536,-2880.3054706,-2880.29516154,-2880.28631742,12.018802405,5.549769319169999
471,Rh_Cat539,-3023.96438493,-3023.96311563,-3023.94201929,14.0346515735,13.2381537652
474,Rh_Cat541,-3420.72975601,-3420.72840562,-3420.70762447,13.8877515996,13.040369045899999
475,Rh_Cat542,-3181.11579678,-3181.11255837,-3181.092448,14.651581263499999,12.6194482236
476,Rh_Cat543,-4861.84494459,-4861.84366721,-4861.82292131,13.8198174207,13.0182493357
481,Rh_Cat548,-3180.95569489,-3180.94942841,-3180.93371577,13.7921066015,9.85983087005
500,Rh_Cat565,-2760.48691038,-2760.4818950999997,-2760.46958771,10.8701399906,7.723004145449999
503,Rh_Cat568,-2904.15917558,-2904.16081142,-2904.13859911,12.911930401400001,13.9384355418
504,Rh_Cat569,-3061.29953679,-3061.30180616,-3061.27899157,12.8923207295,14.316371963599998
